group | デッキ | pos=0,81 | size=1920x712
button | ボタン | pos=15,92 | size=92x91
static text | 曲名, デッキ 1 | pos=122,94 | size=639x25
button | Elapsed time, デッキ 1 | pos=776,94 | size=81x46
button | キー, デッキ 1 | pos=890,94 | size=54x46
UI element | 波形オーバービュー, デッキ 1 | pos=122,155 | size=822x29
button | ボタン | pos=1813,92 | size=91x91
static text | 曲名, デッキ 2 | pos=976,94 | size=639x25
button | Elapsed time, デッキ 2 | pos=1630,94 | size=81x46
button | キー, デッキ 2 | pos=1744,94 | size=54x46
UI element | 波形オーバービュー, デッキ 2 | pos=976,155 | size=822x29
static text | 曲名, デッキ 1 | pos=122,94 | size=639x25
button | 同期する, デッキ 1 | pos=16,205 | size=81x38
button | 140.0, デッキ 1 | pos=0,250 | size=114x27
button | 0.0%, デッキ 1 | pos=0,277 | size=114x22
slider | テンポ, デッキ 1 | pos=19,303 | size=75x93
button | Key Lock on-off, デッキ 1 | pos=94,341 | size=16x17
button | Pitch Bend -, デッキ 1 | pos=24,395 | size=33x33
button | Pitch Bend +, デッキ 1 | pos=56,395 | size=33x33
button | Quantize, デッキ 1 | pos=122,197 | size=17x27
button | Shows quantize options, デッキ 1 | pos=145,197 | size=22x27
button | Cue Points, デッキ 1 | pos=212,194 | size=54x33
button | ルーピング, デッキ 1 | pos=266,194 | size=54x33
button | FX, デッキ 1 | pos=319,194 | size=54x33
button | Cuepoint Range, デッキ 1 | pos=403,194 | size=33x33
button | 編集, デッキ 1 | pos=436,199 | size=32x22
button | ボタン | pos=117,229 | size=84x49
button | Cue 1, デッキ 1 | pos=117,279 | size=84x49
button | Cue 2, デッキ 1 | pos=203,227 | size=90x104
button | Cue 3, デッキ 1 | pos=292,227 | size=90x104
button | ボタン | pos=384,229 | size=84x49
button | Cue 4, デッキ 1 | pos=384,279 | size=84x49
button | Cue 5, デッキ 1 | pos=114,330 | size=90x103
button | Cue 6, デッキ 1 | pos=203,330 | size=90x103
button | Cue 7, デッキ 1 | pos=292,330 | size=90x103
button | Cue 8, デッキ 1 | pos=381,330 | size=90x103
slider | フィルター, デッキ 1 | pos=498,213 | size=33x32
slider | 高EQ, デッキ 1 | pos=498,271 | size=33x33
slider | 中EQ, デッキ 1 | pos=498,321 | size=33x33
slider | 低EQ, デッキ 1 | pos=498,371 | size=33x33
button | EQ Type, デッキ 1 | pos=549,215 | size=41x22
slider | ゲイン, デッキ 1 | pos=553,250 | size=33x33
slider | ラインの音量, デッキ 1 | pos=537,290 | size=65x127
